Metabolite_name,blank_01,blank_02,blank_03,blank_04,Cultures_QC_01,Cultures_QC_02,POS_BDS_EC_IPLs,POS_Cultures_Pooled_QC_01,POS_Cultures_Pooled_QC_02,POS_Cultures_Pooled_QC_03,POS_Cultures_Pooled_QC_04,POS_Cultures_Pooled_QC_05,POS_Cultures_Pooled_QC_06,POS_u_DA_IPLs,POS_u_EC_IPLs,POS_u_H_IPLs,POS_u_S_IPLs,POS_u2_EC_IPLs,POS_u2_y_IPLs
w/o MS2:RIKEN P-VS1 ID-1478 from Mouse_Aorta_WT_N_Ctr,132,84,80,0,1787,1794,281,2198,1852,1971,1861,104,2302,69,888,2371,18334,943,31100
Unknown,0,0,74,0,2468,2398,5873,2185,2047,1899,1958,0,2060,0,52,0,61,68,0
Unknown,98,111,73,0,6684,6708,70,5699,5828,5617,6342,125,5653,0,59,104,21549,0,64
Unknown,178,165,295,0,50038,464,301,3670,695,471,352,133,415,782,887,2183,793,1117,8696
Unknown,92,55,0,0,31232,30354,0,27225,24019,22440,23679,58,24872,0,67,55,6422,58,61
Unknown,51,63,64,0,3728,3855,59,3386,3497,3816,4479,118,4070,0,56,0,137936,54,60
Unknown,475,188,109,0,19417,18006,3804,18670,15147,18409,18897,102,18825,387,940,844,14545,1018,34050
Unknown,394,169,215,0,12130,12121,4214,18670,15147,18409,18897,123,18825,405,975,1217,14545,1012,34050
w/o MS2:NATau 14:0,86,87,90,0,766,550,367,811,790,810,769,63,483,58,2291,780,8217,2171,1141
Unknown,2280,2200,2322,0,4768,3152,16970,4825,3056,2971,3336,93,3537,1942,3400,2183,2027,2119,2137
Unknown,2129,2428,2244,0,9962,8056,1875,8773,8632,8385,8928,0,8123,1774,5416,4615,7331,15280,7504
Unknown,80,0,0,0,1029,1361,9345,1497,1379,1522,1656,73,1505,0,90,144,0,104,60
w/o MS2:13-Docosenamide,1126,742,752,0,13600,13860,3999,11995,12663,12929,14200,1495,13975,1264,20158,7698,4135,7032,31134
Unknown,62,65,91,0,2335,2380,198,2547,2477,2547,2608,101,2492,190,274,106,9622,344,154
Unknown,0,0,78,0,4288,5436,0,4627,4759,5056,5195,0,5321,0,0,21178,0,0,0
Unknown,0,0,0,0,3226,3775,0,2780,3010,3573,3384,0,3122,0,0,18195,0,0,0
Unknown,0,0,0,0,2959,3133,0,3371,2949,3339,3443,0,3563,0,0,16361,0,0,0
Unknown,90,0,0,0,5019,5477,0,4100,4285,5056,5093,0,5056,3759,1476,5201,6910,2114,3136
Unknown,332,87,0,0,52088,26108,58,24797,21949,25616,24888,61,26598,21735,40411,45630,47545,39109,46288
Unknown,440,137,0,0,12607,7864,65,6884,5847,7059,7161,0,7395,4337,7610,8106,7963,7674,8408
Unknown,96,114,0,0,2501,2213,1535,2176,2739,2265,1882,0,2118,144,10164,121,353,10904,196
w/o MS2:RIKEN P-VS1 ID-1690 from Cell_HeLa_WT_N_Ctr,0,0,0,0,2402,3196,640,3088,3151,2448,3285,94,3192,59,9280,67,2102,10535,198
Unknown,142,257,286,0,2338,2672,8049,1902,2652,2611,2424,58,2269,499,2663,191,245,1866,452
Unknown,69,0,0,0,10819,8022,0,8178,6745,6809,8520,0,7068,0,80,0,0,0,0
Unknown,98,0,0,0,1350,2057,0,1671,1546,2132,2026,0,2170,0,61,286,11480,94,74
